STATUS | wrapper  | 2020/04/29 22:11:25 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/04/29 22:11:25 | Launching a JVM...
INFO   | jvm 1    | 2020/04/29 22:11:27 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/04/29 22:11:27 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/04/29 22:11:27 | 
INFO   | jvm 1    | 2020/04/29 22:11:27 | Java Runtime: Oracle Corporation 1.8.0_201 C:\Program Files\Java\jdk1.8.0_201\jre
INFO   | jvm 1    | 2020/04/29 22:11:27 |   Heap sizes: current=123904k  free=114064k  max=932352k
INFO   | jvm 1    | 2020/04/29 22:11:27 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=3_a6YOe4ODYspVPR -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=27724 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2020/04/29 22:11:27 | Extensions classpath:
INFO   | jvm 1    | 2020/04/29 22:11:27 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2020/04/29 22:11:27 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2020/04/29 22:11:27 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2020/04/29 22:11:27 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2020/04/29 22:11:27 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2020/04/29 22:11:27 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2020/04/29 22:11:27 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@575de6b4: startup date [Wed Apr 29 22:11:27 CST 2020]; root of context hierarchy
INFO   | jvm 1    | 2020/04/29 22:11:28 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\ApacheProjects\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2020/04/29 22:11:28 |  INFO | PListStore:[E:\ApacheProjects\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Apache ActiveMQ 5.15.12 (localhost, ID:DESKTOP-SC2NC2E-53285-1588169488880-0:1) is starting
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Listening for connections at: tcp://DESKTOP-SC2NC2E:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Connector openwire started
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Listening for connections at: amqp://DESKTOP-SC2NC2E:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Connector amqp started
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Listening for connections at: stomp://DESKTOP-SC2NC2E:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Connector stomp started
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Listening for connections at: mqtt://DESKTOP-SC2NC2E:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2020/04/29 22:11:29 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2020/04/29 22:11:29 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@755d1a5e{/,null,STARTING} has uncovered http methods for path: /
